Frequency(S) [GHz], S11(dB)
2.311000108718872070e+00,-3.890130932750697657e+00
2.312000036239624023e+00,-3.945628516423655086e+00
2.312999963760375977e+00,-4.002540328236760203e+00
2.313999891281127930e+00,-4.060902061008092367e+00
2.315000057220458984e+00,-4.120751121616220480e+00
2.315999984741210938e+00,-4.182127923559132654e+00
2.316999912261962891e+00,-4.245071597639253014e+00
2.318000078201293945e+00,-4.309625202248778209e+00
2.319000005722045898e+00,-4.375826766114305322e+00
2.319999933242797852e+00,-4.443722328591606541e+00
2.321000099182128906e+00,-4.513353093541412342e+00
2.322000026702880859e+00,-4.584766804331509960e+00
2.322999954223632812e+00,-4.658006770786356832e+00
2.323999881744384766e+00,-4.733124099473552171e+00
2.325000047683715820e+00,-4.810164824728388133e+00
2.325999975204467773e+00,-4.889180889611920655e+00
2.326999902725219727e+00,-4.970223351251083166e+00
2.328000068664550781e+00,-5.053345873753240625e+00
2.328999996185302734e+00,-5.138603286170091877e+00
2.329999923706054688e+00,-5.226055780029663644e+00
2.331000089645385742e+00,-5.315758352702468770e+00
2.332000017166137695e+00,-5.407774379615539750e+00
2.332999944686889648e+00,-5.502167772570981441e+00
2.334000110626220703e+00,-5.599002584065917887e+00
2.335000038146972656e+00,-5.698348530085591612e+00
2.335999965667724609e+00,-5.800275230492858647e+00
2.336999893188476562e+00,-5.904859284861778690e+00
2.338000059127807617e+00,-6.012173923840289369e+00
2.338999986648559570e+00,-6.122302809359151610e+00
2.339999914169311523e+00,-6.235328037463768069e+00
2.341000080108642578e+00,-6.351337316324102034e+00
2.342000007629394531e+00,-6.470423128584931405e+00
2.342999935150146484e+00,-6.592681025607312506e+00
2.344000101089477539e+00,-6.718211389801798106e+00
2.345000028610229492e+00,-6.847120730395760191e+00
2.345999956130981445e+00,-6.979519514245943412e+00
2.346999883651733398e+00,-7.115524019861824812e+00
2.348000049591064453e+00,-7.255260058271602475e+00
2.348999977111816406e+00,-7.398855888640484046e+00
2.349999904632568359e+00,-7.546448565519032314e+00
2.351000070571899414e+00,-7.698185348322382993e+00
2.351999998092651367e+00,-7.854218857423611588e+00
2.352999925613403320e+00,-8.014713421598031573e+00
2.354000091552734375e+00,-8.179843298034025878e+00
2.355000019073486328e+00,-8.349792441032583667e+00
2.355999946594238281e+00,-8.524758824688788650e+00
2.357000112533569336e+00,-8.704953629595543418e+00
2.358000040054321289e+00,-8.890600740596260820e+00
2.358999967575073242e+00,-9.081941354881266193e+00
2.359999895095825195e+00,-9.279234379984387715e+00
2.361000061035156250e+00,-9.482760680113727858e+00
2.361999988555908203e+00,-9.692818796923308611e+00
2.362999916076660156e+00,-9.909732497342311319e+00
2.364000082015991211e+00,-1.013385341367454906e+01
2.365000009536743164e+00,-1.036555948838552865e+01
2.365999937057495117e+00,-1.060526747487253374e+01
2.367000102996826172e+00,-1.085342193466432015e+01
2.368000030517578125e+00,-1.111052040871222069e+01
2.368999958038330078e+00,-1.137709858155700005e+01
2.369999885559082031e+00,-1.165374979757145724e+01
2.371000051498413086e+00,-1.194112512309983032e+01
2.371999979019165039e+00,-1.223994643101103108e+01
2.372999906539916992e+00,-1.255101254207477979e+01
2.374000072479248047e+00,-1.287521697125969489e+01
2.375000000000000000e+00,-1.321355342381374953e+01
2.375999927520751953e+00,-1.356714252800737697e+01
2.377000093460083008e+00,-1.393724277859642058e+01
2.378000020980834961e+00,-1.432528385685586159e+01
2.378999948501586914e+00,-1.473289350712651213e+01
2.380000114440917969e+00,-1.516193723432722251e+01
2.381000041961669922e+00,-1.561456215722285990e+01
2.381999969482421875e+00,-1.609326448456956271e+01
2.382999897003173828e+00,-1.660095455936644626e+01
2.384000062942504883e+00,-1.714106459507584646e+01
2.384999990463256836e+00,-1.771767043101532124e+01
2.385999917984008789e+00,-1.833565658351303540e+01
2.387000083923339844e+00,-1.900093280999208645e+01
2.388000011444091797e+00,-1.972072972997543161e+01
2.388999938964843750e+00,-2.050399476358350626e+01
2.390000104904174805e+00,-2.136190573137661275e+01
2.391000032424926758e+00,-2.230858262612695952e+01
2.391999959945678711e+00,-2.336196139550259687e+01
2.392999887466430664e+00,-2.454472488398707597e+01
2.394000053405761719e+00,-2.588466949967342501e+01
2.394999980926513672e+00,-2.741204452571310313e+01
2.395999908447265625e+00,-2.914487559934492822e+01
2.397000074386596680e+00,-3.103180120640156048e+01
2.398000001907348633e+00,-3.277848667129772053e+01
2.398999929428100586e+00,-3.362374505887901677e+01
2.400000095367431641e+00,-3.293772650975335381e+01
